timestamp,username,ip_address,event,status
2026-05-01 08:15:00,alex,192.168.1.10,login,success
2026-05-01 09:20:00,jsmith,192.168.1.24,login,failed
2026-05-01 09:21:00,jsmith,192.168.1.24,login,failed
2026-05-01 09:22:00,jsmith,192.168.1.24,login,failed
2026-05-01 10:30:00,maria,192.168.1.33,login,success
2026-05-01 23:45:00,admin,45.22.18.9,login,success
2026-05-02 01:15:00,root,77.88.99.12,login,failed
2026-05-02 01:16:00,root,77.88.99.12,login,failed
2026-05-02 01:17:00,root,77.88.99.12,login,failed
2026-05-02 01:18:00,root,77.88.99.12,login,failed
